;filter_conv_1;kernel_conv_1;filter_conv_2;kernel_conv_2;filter_conv_3;kernel_conv_3;batchnorm_1;batchnorm_2;batchnorm_3;batchnorm_4;n_dense;batch_size;best_val_acc
175;64;5;128;3;256;3;0.9468529332676826;0.7196109409121522;0.7053455845411682;0.9535089629421972;128;256;0.8245999813079834
176;32;3;64;3;256;5;0.8491167844627737;0.7202971298035145;0.9898804311698126;0.7033319304154245;256;64;0.8057000041007996
177;32;5;128;3;256;3;0.8410000438151318;0.8908543050844997;0.9134274256235904;0.8687144517269564;256;128;0.8118000030517578
178;32;3;64;5;256;5;0.7656624799722976;0.7769031676975944;0.7361945823105148;0.7480750404243613;128;128;0.815500020980835
179;32;3;128;5;256;5;0.9442716748388452;0.938114720866043;0.9509284217745926;0.9859821741016108;256;64;0.8356999754905701
180;64;5;128;3;128;3;0.9783748952935664;0.9661283617546376;0.7615717767770478;0.8280155513966286;256;256;0.8192999958992004
181;64;5;128;3;128;3;0.7042492281185171;0.8211727068890841;0.9307015592387692;0.9865971248997432;64;64;0.8222000002861023
182;64;3;64;5;128;5;0.7151739066802804;0.9676124946168064;0.7632989816233228;0.7879813065898476;128;256;0.7972000241279602
183;64;5;64;5;256;3;0.990153745564638;0.9524226700310736;0.9487730368541536;0.8986144478976189;256;64;0.8086000084877014
184;32;5;64;5;128;5;0.8320367201292127;0.9666614919348934;0.8105928469529593;0.8152196096609384;64;128;0.7778000235557556
185;32;5;64;3;256;3;0.9407723937695848;0.8850601458618751;0.9700058247015336;0.8587974772337317;256;128;0.8001999855041504
186;64;5;128;3;256;3;0.9035059754964264;0.9326326461119804;0.7653181990507921;0.7956983303578222;64;128;0.8241999745368958
187;64;3;128;5;128;5;0.9115987728611682;0.8221434437884795;0.8293460502151562;0.9451256033862896;256;128;0.8296999931335449
188;64;5;64;5;128;3;0.8621873649492076;0.9979818720146221;0.7417136224178743;0.9281203570321108;128;64;0.8076000213623047
189;32;5;64;5;256;5;0.7523760061927129;0.8792655287252225;0.9008049391246716;0.7878401453602162;64;128;0.7991999983787537
190;32;3;64;5;256;3;0.9769260716597804;0.9317549066265884;0.8904097956546383;0.8041456814457935;128;128;0.8005999922752379
191;64;5;64;5;128;5;0.9177219188273787;0.9722525983070454;0.9278489900723764;0.8442204685718548;128;128;0.8169999718666077
192;32;5;128;3;128;5;0.7937138997158925;0.8244214423052366;0.7293690557697686;0.8251356239206167;64;64;0.8151000142097473
193;32;3;128;5;256;3;0.8795668523851259;0.8589479911742729;0.9351761031486292;0.7108052921776452;64;64;0.8309999704360962
194;64;5;128;3;128;3;0.966118372000172;0.9817261773179259;0.8854755355977266;0.8234310454695302;256;128;0.801800012588501
195;32;3;128;5;256;5;0.8777280049368434;0.7848616923537758;0.9968780512883318;0.9988711539512382;64;64;0.8319000005722046
196;32;3;128;5;256;5;0.8114191385141007;0.7544956595903932;0.9967602922267432;0.9982106741776032;64;64;0.8289999961853027
197;32;3;128;5;256;5;0.8840469783402748;0.7852025233064672;0.9678410361721652;0.9761701336609888;256;64;0.8361999988555908
198;32;3;128;5;256;5;0.9391433972473658;0.7902488608680293;0.8603414912604519;0.9724949102046304;256;64;0.8320999741554259
199;32;3;128;5;256;5;0.9050336781660178;0.752972332358985;0.9686802623096992;0.907586113263189;256;64;0.8357999920845032
200;32;3;128;5;256;5;0.8878267254600016;0.7010245900551147;0.9716919719344316;0.8995825175576049;256;64;0.8356999754905701
201;32;3;128;5;256;5;0.8255858190177761;0.750805557992129;0.8640404071381141;0.9072574208630796;256;256;0.8277999758720398
202;32;3;128;5;256;5;0.8654818588768145;0.7566972102710265;0.9730996234323772;0.8758001975653564;256;64;0.8335999846458435
203;32;3;128;5;256;5;0.9208435384097172;0.7271932952482285;0.8133682215637501;0.9568194060882322;256;256;0.8314999938011169
204;32;3;128;5;256;5;0.8034840581066336;0.7028107433501828;0.9542832481339591;0.9289506913614096;256;64;0.8360000252723694
205;64;5;128;3;256;3;0.9468529332676826;0.7196109409121522;0.7053455845411682;0.9535089629421972;128;256;0.8198000192642212
206;32;3;64;3;256;5;0.8491167844627737;0.7202971298035145;0.9898804311698126;0.7033319304154245;256;64;0.8217999935150146
207;32;5;128;3;256;3;0.8410000438151318;0.8908543050844997;0.9134274256235904;0.8687144517269564;256;128;0.8130999803543091
208;32;3;64;5;256;5;0.7656624799722976;0.7769031676975944;0.7361945823105148;0.7480750404243613;128;128;0.8165000081062317
209;32;3;128;5;256;5;0.9442716748388452;0.938114720866043;0.9509284217745926;0.9859821741016108;256;64;0.8321999907493591
210;64;5;128;3;128;3;0.9783748952935664;0.9661283617546376;0.7615717767770478;0.8280155513966286;256;256;0.7778000235557556
